,ind,point,mode,indiv,trial,viscosity,speed,peakfreq,wavelength,wavelength2,windingnum,traveling,modereal,modeimag
4503,76,2,1,9,25,1.0,183.34702763521588,2.2123893805309733,108.32979210652601,114.27967857669785,1.2941458804069774,0.8012187129228738,-0.09897846346643412,0.01351141158241193
4504,76,2,2,9,25,1.0,183.34702763521588,2.2123893805309733,108.32979210652601,114.27967857669785,1.2941458804069774,0.5358904970536967,-0.25161418079106507,0.015571638268301408
4505,76,2,3,9,25,1.0,183.34702763521588,2.2123893805309733,108.32979210652601,114.27967857669785,1.2941458804069774,0.7665945389238079,0.06624667699735018,0.07453395332420686
4506,76,3,1,9,25,1.0,183.34702763521588,2.2123893805309733,108.32979210652601,114.27967857669785,1.2941458804069774,0.8012187129228738,-0.09089548400237443,0.028542958212771537
4507,76,3,2,9,25,1.0,183.34702763521588,2.2123893805309733,108.32979210652601,114.27967857669785,1.2941458804069774,0.5358904970536967,-0.16571104926204072,0.06667288690431619
4508,76,3,3,9,25,1.0,183.34702763521588,2.2123893805309733,108.32979210652601,114.27967857669785,1.2941458804069774,0.7665945389238079,-0.05210635729542598,-0.023112152914763134
4509,76,4,1,9,25,1.0,183.34702763521588,2.2123893805309733,108.32979210652601,114.27967857669785,1.2941458804069774,0.8012187129228738,-0.08846484812302575,0.04208270500222841
4510,76,4,2,9,25,1.0,183.34702763521588,2.2123893805309733,108.32979210652601,114.27967857669785,1.2941458804069774,0.5358904970536967,-0.07003833646979607,0.09606824293573667
4511,76,4,3,9,25,1.0,183.34702763521588,2.2123893805309733,108.32979210652601,114.27967857669785,1.2941458804069774,0.7665945389238079,-0.1713495526602655,-0.04523511099238539
4512,76,5,1,9,25,1.0,183.34702763521588,2.2123893805309733,108.32979210652601,114.27967857669785,1.2941458804069774,0.8012187129228738,-0.08135941089789292,0.0747862151905842
4513,76,5,2,9,25,1.0,183.34702763521588,2.2123893805309733,108.32979210652601,114.27967857669785,1.2941458804069774,0.5358904970536967,0.05108920897540711,0.07187248973230072
4514,76,5,3,9,25,1.0,183.34702763521588,2.2123893805309733,108.32979210652601,114.27967857669785,1.2941458804069774,0.7665945389238079,-0.25603019453762516,0.024016660655254502
4515,76,6,1,9,25,1.0,183.34702763521588,2.2123893805309733,108.32979210652601,114.27967857669785,1.2941458804069774,0.8012187129228738,-0.04496366831201391,0.1217442750121958
4516,76,6,2,9,25,1.0,183.34702763521588,2.2123893805309733,108.32979210652601,114.27967857669785,1.2941458804069774,0.5358904970536967,0.18073591736110456,0.008831859544858113
4517,76,6,3,9,25,1.0,183.34702763521588,2.2123893805309733,108.32979210652601,114.27967857669785,1.2941458804069774,0.7665945389238079,-0.24527130611749917,0.11136781578199106
4518,76,7,1,9,25,1.0,183.34702763521588,2.2123893805309733,108.32979210652601,114.27967857669785,1.2941458804069774,0.8012187129228738,0.03569980320470953,0.15230415522948848
4519,76,7,2,9,25,1.0,183.34702763521588,2.2123893805309733,108.32979210652601,114.27967857669785,1.2941458804069774,0.5358904970536967,0.25847506027452977,-0.07946109653022768
4520,76,7,3,9,25,1.0,183.34702763521588,2.2123893805309733,108.32979210652601,114.27967857669785,1.2941458804069774,0.7665945389238079,-0.1803793609615601,0.13188503801735818
4521,76,8,1,9,25,1.0,183.34702763521588,2.2123893805309733,108.32979210652601,114.27967857669785,1.2941458804069774,0.8012187129228738,0.1360138933615041,0.13238037851316026
4522,76,8,2,9,25,1.0,183.34702763521588,2.2123893805309733,108.32979210652601,114.27967857669785,1.2941458804069774,0.5358904970536967,0.26948435302767837,-0.15834111059981265
