,point,mode,modereal,modeimag,viscosity,trial,wavelength,windingnum,traveling
98,32,3,-0.018070537019372244,0.02193680356564392,1,sim1x,9.319627121524139,1.3188973677090092,0.9040395248943333
99,33,1,-0.03420457634699438,0.020067136736410265,1,sim1x,9.319627121524139,1.3188973677090092,0.7552857089975445
100,33,2,-0.04197537698482629,-0.012634318095142311,1,sim1x,9.319627121524139,1.3188973677090092,0.7582775820806937
101,33,3,-0.01664461437168765,0.02263131326322707,1,sim1x,9.319627121524139,1.3188973677090092,0.9040395248943333
102,34,1,-0.03361019697052792,0.020673778216494382,1,sim1x,9.319627121524139,1.3188973677090092,0.7552857089975445
103,34,2,-0.040987029377286995,-0.013031060596200572,1,sim1x,9.319627121524139,1.3188973677090092,0.7582775820806937
104,34,3,-0.01522305308500265,0.023325227621034925,1,sim1x,9.319627121524139,1.3188973677090092,0.9040395248943333
105,35,1,-0.033016696843349055,0.021280082976595723,1,sim1x,9.319627121524139,1.3188973677090092,0.7552857089975445
106,35,2,-0.04000007024732638,-0.01342758044862847,1,sim1x,9.319627121524139,1.3188973677090092,0.7582775820806937
107,35,3,-0.013805333833364552,0.024018525817226712,1,sim1x,9.319627121524139,1.3188973677090092,0.9040395248943333
108,36,1,-0.03242411221439242,0.021885990903053095,1,sim1x,9.319627121524139,1.3188973677090092,0.7552857089975445
109,36,2,-0.039014409443442526,-0.013823703284189798,1,sim1x,9.319627121524139,1.3188973677090092,0.7582775820806937
110,36,3,-0.012390562576996035,0.024711502245482957,1,sim1x,9.319627121524139,1.3188973677090092,0.9040395248943333
111,37,1,-0.031832501900260504,0.022491452704369624,1,sim1x,9.319627121524139,1.3188973677090092,0.7552857089975445
112,37,2,-0.03803031277475046,-0.01421933740650388,1,sim1x,9.319627121524139,1.3188973677090092,0.7582775820806937
113,37,3,-0.01097844455358514,0.025403776784948158,1,sim1x,9.319627121524139,1.3188973677090092,0.9040395248943333
114,38,1,-0.031241937204482633,0.023096428555434912,1,sim1x,9.319627121524139,1.3188973677090092,0.7552857089975445
115,38,2,-0.037047900990717975,-0.014614552045873874,1,sim1x,9.319627121524139,1.3188973677090092,0.7582775820806937
116,38,3,-0.00956896765570117,0.0260948158225366,1,sim1x,9.319627121524139,1.3188973677090092,0.9040395248943333
117,39,1,-0.030652486972229137,0.023700873521107838,1,sim1x,9.319627121524139,1.3188973677090092,0.7552857089975445
118,39,2,-0.03606722004556572,-0.015009290887144876,1,sim1x,9.319627121524139,1.3188973677090092,0.7582775820806937
119,39,3,-0.008162604809623879,0.02678466005370243,1,sim1x,9.319627121524139,1.3188973677090092,0.9040395248943333
120,40,1,-0.03006542890730989,0.024305116072312196,1,sim1x,9.319627121524139,1.3188973677090092,0.7552857089975445
121,40,2,-0.03508990092589801,-0.015403604492537163,1,sim1x,9.319627121524139,1.3188973677090092,0.7582775820806937
122,40,3,-0.006760541906489297,0.02747521488803623,1,sim1x,9.319627121524139,1.3188973677090092,0.9040395248943333
123,41,1,-0.029407166751731644,0.02488581613940309,1,sim1x,9.319627121524139,1.3188973677090092,0.7552857089975445
124,41,2,-0.034026692358696646,-0.015815448078317706,1,sim1x,9.319627121524139,1.3188973677090092,0.7582775820806937
125,41,3,-0.005360719121173637,0.027763487667622166,1,sim1x,9.319627121524139,1.3188973677090092,0.9040395248943333
126,42,1,-0.028704852164791593,0.025450958414736866,1,sim1x,9.319627121524139,1.3188973677090092,0.7552857089975445
127,42,2,-0.03289915649293719,-0.016214605063876033,1,sim1x,9.319627121524139,1.3188973677090092,0.7582775820806937
128,42,3,-0.003915860339951512,0.027873951541010036,1,sim1x,9.319627121524139,1.3188973677090092,0.9040395248943333
129,43,1,-0.027970638005923906,0.026001679934326945,1,sim1x,9.319627121524139,1.3188973677090092,0.7552857089975445
130,43,2,-0.031731948041561646,-0.016612178032662288,1,sim1x,9.319627121524139,1.3188973677090092,0.7582775820806937
131,43,3,-0.0024333623599472123,0.02785799412924153,1,sim1x,9.319627121524139,1.3188973677090092,0.9040395248943333
132,44,1,-0.027209996083357228,0.026537973279038125,1,sim1x,9.319627121524139,1.3188973677090092,0.7552857089975445
133,44,2,-0.030522329825743478,-0.01699632539603998,1,sim1x,9.319627121524139,1.3188973677090092,0.7582775820806937
134,44,3,-0.0009178174784483012,0.027750131494431382,1,sim1x,9.319627121524139,1.3188973677090092,0.9040395248943333
135,45,1,-0.026425794274655932,0.02706027386471576,1,sim1x,9.319627121524139,1.3188973677090092,0.7552857089975445
136,45,2,-0.029289637241962655,-0.017376457852448922,1,sim1x,9.319627121524139,1.3188973677090092,0.7582775820806937
137,45,3,0.0006069606144798772,0.027512960873187196,1,sim1x,9.319627121524139,1.3188973677090092,0.9040395248943333
138,46,1,-0.02561847803657164,0.027567875122133753,1,sim1x,9.319627121524139,1.3188973677090092,0.7552857089975445
139,46,2,-0.028026914329122847,-0.017755411311733197,1,sim1x,9.319627121524139,1.3188973677090092,0.7582775820806937
140,46,3,0.0021400942419911332,0.02714365955698217,1,sim1x,9.319627121524139,1.3188973677090092,0.9040395248943333
141,47,1,-0.02478946214718206,0.028060249763407936,1,sim1x,9.319627121524139,1.3188973677090092,0.7552857089975445
142,47,2,-0.026742050231625288,-0.01813659196985153,1,sim1x,9.319627121524139,1.3188973677090092,0.7582775820806937
143,47,3,0.003665835600714785,0.02666490651105901,1,sim1x,9.319627121524139,1.3188973677090092,0.9040395248943333
144,48,1,-0.023938803503808562,0.028536411707203897,1,sim1x,9.319627121524139,1.3188973677090092,0.7552857089975445
145,48,2,-0.025433602596322206,-0.0185130444495506,1,sim1x,9.319627121524139,1.3188973677090092,0.7582775820806937
146,48,3,0.0051769725128657474,0.026063359061429012,1,sim1x,9.319627121524139,1.3188973677090092,0.9040395248943333
147,49,1,-0.023067321580442342,0.028996092254220292,1,sim1x,9.319627121524139,1.3188973677090092,0.7552857089975445
148,49,2,-0.024102279453217225,-0.01889145062879814,1,sim1x,9.319627121524139,1.3188973677090092,0.7582775820806937
149,49,3,0.006657391704059052,0.025316047595890626,1,sim1x,9.319627121524139,1.3188973677090092,0.9040395248943333
150,50,1,-0.022175492073376993,0.029438369659379102,1,sim1x,9.319627121524139,1.3188973677090092,0.7552857089975445
151,50,2,-0.022756255156602796,-0.01926382632285612,1,sim1x,9.319627121524139,1.3188973677090092,0.7582775820806937
152,50,3,0.008096262682819863,0.024429222525382408,1,sim1x,9.319627121524139,1.3188973677090092,0.9040395248943333
153,51,1,-0.021263510330376684,0.029862531084858028,1,sim1x,9.319627121524139,1.3188973677090092,0.7552857089975445
154,51,2,-0.021381751781468374,-0.019642829738264332,1,sim1x,9.319627121524139,1.3188973677090092,0.7582775820806937
155,51,3,0.00949635898040626,0.023436643055624637,1,sim1x,9.319627121524139,1.3188973677090092,0.9040395248943333
156,52,1,-0.02033204368893554,0.03026792443373233,1,sim1x,9.319627121524139,1.3188973677090092,0.7552857089975445
157,52,2,-0.020000410565447605,-0.020021913794784102,1,sim1x,9.319627121524139,1.3188973677090092,0.7582775820806937
158,52,3,0.010856770652884578,0.02229034505435159,1,sim1x,9.319627121524139,1.3188973677090092,0.9040395248943333
159,53,1,-0.01938209994525781,0.030654111023871194,1,sim1x,9.319627121524139,1.3188973677090092,0.7552857089975445
160,53,2,-0.018599181719270108,-0.02038744234591138,1,sim1x,9.319627121524139,1.3188973677090092,0.7582775820806937
